Name,Ally Code,GP,Chars GP,Ships GP,Character:Ships,Light side or Dark Side,DSR Bot style mod score -- higher is better, aim for 3.0.  This is # of mods with secondary speed ≥ 15 / character gp / 100 000,DSR Bot style gear score -- higher is better.  Number of (>G12 + G13 + relic / 5) / total gp / 100 000.,Zetas,Relic Levels,7*,R5 and higher,G13 and higher,G12 and higher,G10 and higher,Jedi Knight Revan,Darth Revan,Malak,Padme,Genosian Brood Alpha,Wat Tambor,Ki-Adi-Mundi,Shaak Ti,General Skywalker,Rey,Supreme Leader Kylo Ren,Sith Eternal Emperor,Jedi Master Luke Skywalker,Jedi Master Kenobi,Jedi Knight Luke,The Negotiator,Malevolence,Raddus,Finalizer,TW/GA Squads - farmed but may need gear.  Click player name to view.,Squads: defense or both,Squads: offense or both
"DarthToren",623628757,4908115,2915112,1993003,146,-58,373,254,93,159,180,19,33,60,94,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,16,10,9
"Btr Nut",236412553,5982952,3509768,2473184,141,34,145,207,102,110,212,11,25,77,126,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,20,11,10
"Drcct",539764381,5557373,3157134,2400239,131,-31,205,232,112,130,193,13,29,74,111,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,17,10,9
"Grand M'uff Talkin",975411483,5034833,2927073,2107760,138,-20,140,241,96,89,199,8,30,74,102,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,18,11,10
"Jakoby77",543768742,5698252,3295612,2402640,137,-26,549,341,101,272,228,46,55,85,108,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1,19,9,7
"Kaervek",723454989,4405677,2642198,1763479,149,-123,359,285,88,129,179,17,30,70,98,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,18,13,9
"Michael Wulf",217249861,5380792,3158250,2222542,142,-190,189,201,102,122,208,15,28,56,95,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,1,1,0,1,18,11,10
"StarKiller316",842854673,6228264,3691495,2536769,145,-9,197,305,130,245,223,28,60,81,135,1,1,1,1,1,1,0,1,1,0,1,0,1,0,1,1,0,1,1,20,10,10
"neyde jean",862893591,5028985,3075047,1953938,157,21,45,220,106,120,208,9,34,53,97,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,1,18,12,9
"Eanid September",177971713,5628746,3193256,2435490,131,30,103,240,80,108,221,11,27,87,112,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,19,11,9
"Juan Quenovi",476671372,4829952,2828387,2001565,141,-122,243,248,73,144,190,15,35,56,82,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,15,12,7
"DarthThanos",297469325,2980801,1816952,1163849,156,-248,44,163,43,39,129,3,11,30,51,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,6,2
"Chubbs Peterson",495695596,5694330,3213517,2480813,129,-91,286,302,113,217,228,20,46,83,106,1,1,1,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,17,11,8
"Mandaloian Ophace",175185672,4311827,2700240,1611587,167,194,77,209,74,47,166,5,12,69,82,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,7,8
"JaidenHawk",917631287,4579764,2785181,1794583,155,63,71,189,87,103,177,14,22,44,66,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,11,7,9
"Ryu Herr",668391864,5823205,3428526,2394679,143,-1,134,257,108,131,225,9,34,90,125,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,1,1,18,12,8
"DarkKnightDan80",911331162,6208992,3508772,2700220,129,-159,188,366,109,198,214,24,50,138,169,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,21,11,11
"The senate",759726542,4116461,2521573,1594888,158,83,178,214,81,97,141,16,18,51,71,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,12,9,6
"MINI MetalPrawn",619735683,3872268,2195543,1676725,130,-94,154,190,51,89,162,11,22,34,53,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,15,10,7
"Logan Ceti",547187673,4552727,2759873,1792854,153,216,170,283,113,196,178,19,41,49,86,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,12,8,5
"Michl Johso",187668216,5678094,3387051,2291043,147,-76,144,244,109,180,178,22,35,68,108,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,15,8,7
"This Is The Way",582538533,5618167,3340114,2278053,146,-199,251,325,119,249,188,37,42,91,104,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,1,0,1,15,7,6
